Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,Average GPA,Variance
ABE,226,ABE Principles: Bioprocessing,27,52,49,41,37,12,14,10,7,1,1,2,5,1,258,3.268914728682171,0.48835301785680174
ABE,341,Transport Processes in ABE,2,22,15,11,21,14,7,6,3,2,3,0,0,0,106,3.0852830188679246,0.6104890708437165
ABE,361,Off-Road Machine Design,2,14,11,4,3,4,1,4,0,0,0,1,3,0,47,3.156808510638298,0.5879766246400122
ABE,425,Engrg Measurement Systems,20,150,13,29,26,6,5,4,0,0,0,0,1,0,254,3.692716535433071,0.23374830779326916
ABE,430,Project Management,10,484,81,93,162,38,11,21,6,1,1,0,2,0,910,3.571868131868132,0.31082454975045476
ABE,436,Renewable Energy Systems,33,79,78,108,85,33,19,14,4,0,4,0,2,1,459,3.311459694989107,0.3475293929875438
ABE,446,Biological Nanoengineering,1,6,12,2,0,1,0,0,0,0,0,0,0,0,22,3.6986363636363633,0.08979359504132232
ABE,456,Land & Water Resources Engrg,0,35,1,2,4,0,0,1,0,0,0,0,0,0,43,3.821627906976744,0.1776415359653867
ABE,457,NPS Pollution Processes,2,16,0,1,2,0,0,0,0,0,0,0,0,0,21,3.8728571428571428,0.10044897959183674
ABE,466,Engineering Off-Road Vehicles,13,62,86,55,37,28,17,11,4,0,4,0,3,0,320,3.3025624999999996,0.40417544234619146
ABE,469,Industry-Linked Design Project,4,104,107,43,34,13,3,0,0,0,0,0,0,0,308,3.6090259740259745,0.15985814218249284
ABE,483,Engrg Properties of Food Matls,0,16,0,0,6,0,0,2,0,0,0,0,0,0,24,3.5833333333333335,0.40972222222222227
ABE,488,Bioprocessing Biomass for Fuel,25,72,43,40,21,13,6,8,1,0,0,0,0,1,229,3.53,0.30659650655021825
ABE,498,Intro to Field Robotics,3,9,2,3,5,1,0,0,0,0,0,0,0,0,23,3.608695652173913,0.20920264650283557
ABE,501,Graduate Research I,0,20,0,1,0,0,0,0,0,0,1,0,0,0,22,3.833181818181818,0.4016671487603306
ABE,598,Autonomous Decision Making,3,13,5,3,1,0,0,0,0,0,0,0,0,1,25,3.8135999999999997,0.08090304
ACCY,200,Fundamentals of Accounting,134,1143,664,570,541,419,327,233,145,67,90,40,27,3,4400,3.150154545454545,0.6724833877459991
ACCY,201,Accounting and Accountancy I,1014,1497,1502,1083,947,867,513,333,289,14,269,7,238,65,8573,3.144156071386912,0.6107770299406929
ACCY,202,Accounting and Accountancy II,429,1607,360,1542,1238,411,348,344,153,0,79,0,44,34,6555,3.241003813882532,0.4653289005574682
ACCY,301,Atg Measurement & Disclosure,246,857,986,860,775,369,155,117,43,23,13,9,22,9,4475,3.334353072625698,0.3486563962147097
ACCY,302,Decision Making for Atg,159,704,932,936,839,403,161,61,31,9,9,4,6,10,4254,3.3274283027738596,0.2890496922829673
ACCY,303,Atg Institutions and Reg,320,832,835,769,550,288,154,105,57,26,24,33,16,14,4009,3.3417011723621854,0.43946139446211546
ACCY,304,Accounting Control Systems,175,740,763,810,617,261,93,80,35,12,19,9,16,3,3630,3.355787878787879,0.33621049588648827
ACCY,312,Principles of Taxation,173,800,570,702,805,331,129,139,35,18,26,8,10,25,3746,3.2868793379604915,0.3928155530265996
ACCY,398,Practical Problems in Atg,663,27,3,14,2,0,0,12,0,0,0,0,0,1,721,3.9495561719833567,0.07597317333569303
ACCY,405,Assurance and Attestation,69,594,662,813,562,155,85,27,18,3,3,0,2,8,2993,3.4005278984296687,0.23310336984446509
ACCY,410,Advanced Financial Reporting,142,406,248,236,280,209,79,35,12,7,16,1,6,10,1677,3.3310435301132975,0.4126842980472532
ACCY,415,Auditing Stds and Practice,5,159,88,124,127,67,10,30,12,4,6,3,4,2,639,3.23699530516432,0.45329902435569974
ACCY,432,Intro to Mgt Info Systems,1,9,7,2,3,0,0,0,0,0,0,0,0,0,22,3.6977272727272723,0.1204539256198347
ACCY,451,Advanced Income Tax Problems,50,220,122,161,283,71,41,29,1,2,2,0,0,0,982,3.3220977596741346,0.3166015057179953
ACCY,500,"Atg Measuremnt, Rpting & Cntrl",473,918,600,394,336,89,27,21,6,0,2,0,24,4,2890,3.612657439446367,0.20162018694469191
ACCY,501,Accounting Analysis I,25,275,162,151,146,33,6,4,2,0,2,2,0,0,808,3.5298762376237627,0.24132077676208216
ACCY,501,Accounting Analysis I A,10,53,50,23,20,10,5,1,1,0,0,0,2,1,175,3.5092,0.24027610697142857
ACCY,501,Accounting Analysis I B,19,65,34,24,12,6,2,5,0,0,0,0,1,1,168,3.615357142857142,0.2425057815536929
ACCY,502,Accounting Analysis II,108,299,186,155,63,31,23,15,1,2,4,1,0,0,888,3.593614864864865,0.28371497329254936
ACCY,502,Accounting Analysis II A,1,8,7,5,1,0,0,1,0,0,0,0,0,0,23,3.6234782608695655,0.2063531190926276
ACCY,502,Accounting Analysis II B,0,10,10,2,1,0,0,0,0,0,0,0,0,0,23,3.754782608695652,0.06972930056710776
ACCY,503,Managerial Accounting,81,591,423,309,167,40,10,7,1,0,0,0,0,11,1629,3.6317679558011053,0.16142707691055422
ACCY,503,Managerial Accounting A,0,31,15,6,8,0,0,0,0,0,0,0,0,0,60,3.7171666666666665,0.12545363888888889
ACCY,503,Managerial Accounting B,0,29,11,7,7,2,1,1,0,0,0,0,0,0,58,3.626724137931035,0.23423237217598097
ACCY,504,Auditing,77,333,256,138,275,31,8,4,2,0,0,0,0,0,1124,3.5380871886120997,0.20374643012056584
ACCY,504,Auditing A,2,5,3,4,3,1,2,1,3,0,0,0,0,0,24,3.1529166666666666,0.6472706597222222
ACCY,504,Auditing B,2,5,3,2,7,2,0,0,0,0,1,0,0,0,22,3.318636363636364,0.47948450413223137
ACCY,505,Federal Taxation,31,784,188,166,205,36,0,21,1,0,1,1,0,0,1434,3.6675034867503484,0.2194243113546487
ACCY,505,Federal Taxation A,13,40,21,9,9,1,1,0,0,0,0,0,0,1,94,3.7344680851063825,0.1410332277048438
ACCY,505,Federal Taxation B,20,34,15,8,11,8,0,0,0,0,0,0,0,1,96,3.6671875000000003,0.20565146484375
ACCY,506,Advanced Topics in Accounting,6,8,3,13,34,17,0,11,0,0,1,0,0,0,93,3.0181720430107526,0.36110741126141754
ACCY,510,Financial Reporting Standards,79,589,479,435,455,170,24,22,4,0,1,0,2,2,2260,3.4535309734513278,0.23099242055870936
ACCY,511,External Risk Measurement/Rept,0,34,27,12,8,1,0,0,0,0,0,0,0,0,82,3.6795121951219514,0.11797049375371803
ACCY,511,Risk Measurement/Reporting I,51,312,464,405,220,36,10,9,1,0,0,0,1,0,1509,3.5139960238568593,0.1541144041885098
ACCY,512,Data Analytics for Mgmt Acctg,21,24,38,23,0,2,0,0,0,0,0,0,0,0,108,3.7165740740740745,0.08634289266117968
ACCY,512,Internal Risk Measurement/Rept,14,55,65,45,20,2,2,0,0,0,0,0,0,0,203,3.617733990147783,0.13167860904171416
ACCY,512,Risk Measurement/Reporting II,144,1068,421,213,92,40,7,4,0,0,0,1,0,1,1990,3.7739396984924625,0.12519312199186888
ACCY,515,Auditing & Assurance Standards,13,431,288,314,337,99,7,15,3,0,0,1,0,1,1508,3.452188328912467,0.22466152421391838
ACCY,517,Financial Statement Analysis,43,792,305,344,373,141,13,16,1,0,0,0,1,4,2029,3.5309512074913756,0.23305778597331536
ACCY,518,Financial Statement Fraud,90,27,0,2,2,0,0,0,0,0,0,0,0,0,121,3.972396694214876,0.023186817840311454
ACCY,550,Multistate Taxation,1,5,9,4,3,2,1,0,0,0,0,0,0,0,25,3.4808,0.21452736000000003
ACCY,551,Corporate Income Taxation,42,75,43,90,180,12,4,3,0,0,1,0,0,0,450,3.364155555555555,0.21451539802469136
ACCY,552,Partnership Income Taxation,37,102,82,100,177,18,7,1,0,0,1,0,1,0,526,3.399828897338403,0.2094210039345688
ACCY,553,Advanced Tax Topics,10,19,29,21,15,9,0,0,0,0,0,0,0,0,103,3.508640776699029,0.18094572532755207
ACCY,553,Advanced Topics in Acctg,5,10,8,6,1,0,0,0,0,0,0,0,0,0,30,3.744666666666667,0.08695822222222221
ACCY,553,Multi-jurisdictional Taxation,6,9,18,12,12,2,0,0,0,0,0,0,0,0,59,3.514576271186441,0.15224176960643493
ACCY,553,Selected Topics in Fed Tax,1,24,20,23,43,0,0,0,0,0,0,0,0,0,111,3.4143243243243244,0.15700832724616506
ACCY,553,Tax of Closely-held Entities,11,31,17,12,3,0,0,0,0,0,0,0,0,0,74,3.7749999999999995,0.08772770270270269
ACCY,554,International Taxation,19,33,28,25,45,7,0,0,0,0,0,0,0,0,157,3.488535031847134,0.19479849081098627
ACCY,555,Inc Tx Acctg & Multistate Tx,4,30,37,44,15,3,0,0,0,0,0,0,0,0,133,3.54375939849624,0.1233302278252021
ACCY,555,Income Tax Accounting,1,3,7,2,7,3,0,1,0,0,0,0,0,0,24,3.3066666666666666,0.26790555555555556
ACCY,556,Tax Research,29,184,166,111,84,21,2,3,0,0,0,0,0,0,600,3.5826333333333333,0.1701883988888889
ACCY,557,Accounting Periods & Methods,6,85,24,15,31,0,2,3,0,0,0,0,0,0,166,3.6487349397590356,0.2255580381768036
ACCY,557,Consolidated Tax Returns,13,31,43,27,11,8,0,0,0,0,0,0,0,0,133,3.594586466165414,0.1510849793657075
ACCY,557,Reorganizations,14,34,35,20,16,14,0,0,0,0,0,0,0,0,133,3.552105263157894,0.20205271072417885
ACCY,558,Taxation of Closely-Held Bus.,16,76,43,14,10,0,0,0,0,0,0,0,1,0,160,3.7651874999999997,0.08730473415527344
ACCY,559,IRS Procedures,1,25,34,26,13,4,1,0,0,0,0,0,0,0,104,3.532403846153846,0.14903172152366864
ACCY,559,Tax Policy,6,76,64,32,13,0,0,0,0,0,0,0,0,0,191,3.7091099476439795,0.095144233984814
ACCY,560,Information in Value Creation,99,182,157,39,14,0,0,0,0,0,0,0,0,0,491,3.8127494908350306,0.06392787818202181
ACCY,561,Taxes and Business Strategy,4,42,20,13,41,5,0,1,0,0,0,0,0,0,126,3.4844444444444447,0.2251405643738977
ACCY,562,Tax Procedures,1,4,6,7,4,1,1,1,0,0,0,0,0,0,25,3.3731999999999998,0.26126175999999995
ACCY,563,Consolidated Returns,2,6,6,6,2,2,0,0,0,0,0,0,0,0,24,3.5558333333333336,0.1729076388888889
ACCY,564,Reorganizations,2,3,12,4,2,1,0,0,0,0,0,0,0,0,24,3.584583333333333,0.11373315972222224
ACCY,570,Data Analytics Foundations,13,249,43,12,15,4,2,5,1,1,0,0,0,0,345,3.823507246376812,0.172562481831548
ACCY,570,Data Analytics for Acct A,1,9,6,2,2,2,1,0,0,0,0,0,1,0,24,3.43125,0.26420774739583336
ACCY,570,Data Analytics for Acct B,0,16,2,1,1,1,1,0,0,0,0,0,0,0,22,3.757727272727273,0.2242357438016529
ACCY,570,Data Anlaytics Foundations,5,16,7,3,8,1,0,0,0,0,0,0,0,0,40,3.65875,0.1804959375
ACCY,571,Stat Analyses for Accountancy,1,66,47,23,28,4,2,4,0,2,1,0,0,0,178,3.5285393258426963,0.31342258553212976
ACCY,575,Data Analytics Apps in ACCY,1,48,49,6,2,0,0,0,0,0,0,0,0,0,106,3.7906603773584906,0.05079484692061232
ACCY,593,Advanced Topics in Accounting,16,70,12,11,96,4,0,1,0,0,0,0,0,0,210,3.454047619047619,0.24155647392290253
ACCY,593,Special Research Problems,167,305,57,54,93,6,0,2,0,0,0,0,0,0,684,3.7661257309941525,0.15299478536130776
ACE,100,Agr Cons and Resource Econ,126,345,328,335,439,255,197,217,135,74,91,66,95,7,2703,2.7943988161302262,0.7970133360840402
ACE,161,Microcomputer Applications,25,3791,17,13,1014,0,0,316,1,2,115,2,71,18,5367,3.5707751071362024,0.4852779392745521
ACE,199,Agribus Leadership and Policy,4,24,9,2,3,1,0,0,0,0,0,0,0,0,43,3.79906976744186,0.11420378583017848
ACE,199,Dev of Food and Ag Policy,9,11,10,8,6,2,0,0,1,0,0,0,0,0,47,3.581914893617021,0.2432239927569036
ACE,199,Farm Food & Env Policy,8,12,0,1,0,0,0,0,0,0,0,0,0,0,21,3.968095238095238,0.020358276643990928
ACE,199,Introduction to Sales,52,49,13,6,2,1,0,1,0,0,0,0,0,0,124,3.89,0.08369032258064515
ACE,199,Multimedia Videography Project,5,48,6,4,5,0,0,0,0,0,0,0,0,0,68,3.8579411764705887,0.08936340830449827
ACE,210,Environmental Economics,127,348,152,209,281,99,59,84,26,19,12,3,22,7,1441,3.22644691186676,0.5174290737936694
ACE,222,Agricultural Marketing,124,514,206,174,386,89,63,135,22,13,32,3,30,5,1791,3.2316582914572867,0.5597038054115203
ACE,231,Food and Agribusiness Mgt,46,323,282,249,189,78,31,32,8,6,3,1,7,1,1255,3.4076573705179274,0.31759602500829215
ACE,232,Management of Farm Enterprises,28,145,87,84,195,56,33,78,18,6,19,2,8,0,759,3.0524374176548092,0.5940967025925498
ACE,240,Personal Financial Planning,328,810,416,374,490,183,113,171,50,24,45,14,42,8,3060,3.286875816993464,0.5525909549295186
ACE,251,The World Food Economy,161,488,392,303,377,245,128,132,47,21,21,6,25,7,2346,3.2065046888320548,0.5116362874939786
ACE,254,Economic Systems in Africa,22,71,27,31,55,13,15,40,13,10,14,0,13,1,324,2.895030864197531,0.8271742331198336
ACE,255,Econ of Rural Poverty and Dev,3,8,5,6,0,0,0,1,0,0,0,0,0,0,23,3.6665217391304346,0.20348355387523628
ACE,255,Econ of US Rural Poverty & Dev,3,15,12,17,21,7,4,8,2,0,0,0,1,0,90,3.144444444444444,0.4063165706447188
ACE,261,Applied Statistical Methods,57,159,97,112,173,95,80,85,51,30,31,5,26,4,1001,2.878541458541459,0.731088957429949
ACE,270,Consumer Economics,0,85,51,53,72,53,38,43,23,9,12,0,27,1,466,2.785600858369099,0.6552601586302508
ACE,306,Food Law,33,92,72,32,57,33,11,17,4,1,7,0,4,0,363,3.31831955922865,0.49414571940080393
ACE,310,Natural Resource Economics,43,245,159,130,144,88,51,32,16,5,4,1,5,4,923,3.311224268689057,0.4360364959789863
ACE,332,Farm Management,0,5,9,7,5,2,0,0,0,0,0,0,0,0,28,3.4528571428571433,0.152784693877551
ACE,335,Food Marketing and Behavior,2,25,10,7,5,4,1,2,0,1,0,0,0,0,57,3.5324561403508774,0.38183607263773467
ACE,341,Contemp Issue Comm Fin Plng,5,8,1,2,8,0,0,0,0,0,0,0,1,0,25,3.4532,0.22429415040000003
ACE,341,Contemp Issues Financial Plng,0,19,2,1,0,0,0,0,0,0,0,0,0,0,22,3.9395454545454545,0.02664979338842975
ACE,341,Contemp Issues in AgAccy&Fin,12,61,45,16,2,2,1,2,1,0,4,0,3,0,149,3.5823489932885906,0.3580429860617561
ACE,341,Issues in AgAccy and FinAg,7,27,28,3,7,0,0,0,0,0,0,0,0,0,72,3.7465277777777777,0.09402822145061727
ACE,341,Issues in Agribus Mkts & Mgmt,57,14,10,2,5,2,0,1,0,0,0,0,1,0,92,3.801086956521739,0.1351764049272623
ACE,341,Issues in Cons Econ & Finance,6,9,4,1,2,1,0,0,0,0,0,0,0,0,23,3.7686956521739132,0.14882003780718336
ACE,345,Finan Decision Indiv Sm Bus,16,581,116,160,147,56,25,20,7,5,1,3,0,2,1137,3.5678452066842565,0.33756131992645244
ACE,346,Tax Policy and Finan Planning,38,115,89,43,80,31,13,14,4,0,2,0,1,0,430,3.4222325581395348,0.36406925828417624
ACE,360,Spreadsheet Models & Applic,159,161,114,67,74,47,26,22,16,9,5,4,9,2,713,3.3940112201963526,0.5315782867389479
ACE,398,App Tools/Concepts Bus Plng,0,17,7,1,0,0,0,0,0,0,0,0,0,0,25,3.8808,0.03423936
ACE,398,Contemp Issues Financial Plng,0,16,5,2,1,0,0,0,0,0,0,0,0,0,24,3.8337499999999998,0.0741234375
ACE,398,Contemp Issues in Fin Planning,0,21,0,0,0,2,0,1,0,0,0,0,0,0,24,3.8058333333333336,0.2763743055555556
ACE,398,Contemporary Issues in Policy,7,31,4,0,1,0,0,0,1,0,0,0,0,0,44,3.8943181818181816,0.14484271694214879
ACE,398,Estate Plng for Finan Planners,4,4,9,3,2,2,2,0,0,0,0,0,0,0,26,3.5007692307692304,0.267784023668639
ACE,398,Food Marketing and Behavior,20,82,32,15,11,1,4,0,0,0,0,0,0,0,165,3.7598787878787885,0.14926786409550044
ACE,398,Issues in Agribus Mkts & Mgmt,29,14,6,4,1,0,0,1,0,0,0,1,0,0,56,3.80375,0.2925198660714286
ACE,398,Risk Mngmt in Personal Fin Pla,6,45,0,0,0,0,0,1,0,0,0,0,0,0,52,3.9615384615384617,0.07544378698224853
ACE,403,Agricultural Law,8,28,27,30,24,12,5,19,5,0,1,1,2,0,162,3.127777777777778,0.5432161255906112
ACE,406,Environmental Law,17,41,28,21,52,33,10,35,19,5,13,7,7,1,288,2.7714236111111115,0.8600069253259561
ACE,411,Environment and Development,71,70,65,45,50,34,21,16,5,3,4,3,5,1,392,3.297091836734694,0.5350842137616448
ACE,427,Commodity Price Analysis,35,111,113,105,116,67,58,41,25,7,11,4,9,1,702,3.072834757834758,0.5758521905858864
ACE,428,Commodity Futures and Options,50,292,250,176,180,136,80,66,26,20,13,18,14,1,1321,3.1704617713853143,0.5968911646525624
ACE,430,Food Marketing,7,36,49,68,73,50,33,14,4,2,7,0,1,0,344,3.058139534883721,0.4238325345567057
ACE,431,Agri-food Strategic Management,7,46,59,53,54,33,24,6,4,1,0,0,0,0,287,3.2441114982578396,0.3428088795542012
ACE,432,Farm Management,54,29,15,8,2,2,0,1,0,0,0,0,0,0,111,3.847117117117117,0.10962231961691422
ACE,435,Global Agribusiness Management,55,200,230,182,205,82,41,17,12,11,1,0,3,1,1039,3.3390760346487007,0.3391736541845688
ACE,440,Finan Plan for Professionals,1,22,18,7,59,15,8,12,3,0,2,1,2,0,150,2.9916,0.45261916586666673
ACE,444,Finan Serv & Invest Plan,46,267,139,100,135,67,38,46,17,3,22,1,8,4,889,3.278526434195725,0.5686756861541454
ACE,444,Finan Serv Individ Small Bus,3,8,6,10,12,3,3,2,2,1,1,0,0,0,51,3.137058823529412,0.5455776239907728
ACE,445,Intermediate Personal Fin Plan,11,36,20,26,26,20,14,8,4,1,3,1,0,0,170,3.1745882352941175,0.5728448304498269
ACE,446,Modeling App's Finan Plan,16,87,18,14,49,20,18,36,15,4,19,6,5,2,307,2.906872964169381,0.9941806055260852
ACE,447,Case Stud Agr Accy & Fin Plan,8,93,82,31,16,11,5,2,0,0,0,0,0,1,248,3.6338306451612907,0.1895010519640999
ACE,448,Rural Real Estate Appraisal,21,29,22,33,41,22,11,12,3,0,0,0,0,0,194,3.2320103092783503,0.4003459586566053
ACE,449,Retirement & Benefit Planning,21,57,37,29,75,27,22,26,9,8,10,4,3,1,328,2.9971341463414634,0.7212782525123873
ACE,451,Agriculture in Intl Dev,6,29,12,14,24,10,16,15,7,0,2,1,1,1,137,3.0,0.6641897810218979
ACE,454,Econ Dev of Tropical Africa,7,46,18,25,57,26,8,39,5,4,8,4,6,0,253,2.8566007905138338,0.7224405858563493
ACE,455,Intl Trade in Food and Agr,88,106,96,72,84,39,25,18,11,4,3,1,6,1,553,3.3378300180831824,0.4529604713272998
ACE,456,Agr and Food Policies,23,95,16,11,60,12,6,10,5,1,3,0,1,0,243,3.399382716049383,0.504930059906305
ACE,471,Consumer Economic Policy,19,15,10,6,9,5,3,2,2,3,0,0,1,0,75,3.3513333333333333,0.5793204207407407
ACE,474,Econ of Consumption,1,34,34,29,47,31,23,14,12,2,6,1,1,0,235,2.962042553191489,0.5840107382448976
ACE,476,Family Economics,11,51,49,71,59,40,33,24,13,3,1,1,3,0,359,3.0649582172701955,0.4818726121237402
ACE,499,"Audit of Sm, Med, & Ag Bus",0,6,6,6,1,5,2,1,0,0,0,0,0,0,27,3.2966666666666664,0.34862222222222217
ACE,562,Applied Regression Models I,8,90,28,18,16,2,0,0,0,0,0,0,0,0,162,3.753333333333334,0.12845925925925925
ACE,563,Math Program App Econ I,20,10,4,2,4,4,0,0,0,0,0,0,0,0,44,3.727727272727273,0.20789028925619837
ACE,564,Applied Regression Models II,5,77,36,16,13,4,0,0,0,0,0,0,0,0,151,3.7290066225165557,0.13304205955879128
ACE,592,Law and Regulation,3,12,9,11,7,2,0,2,0,0,0,0,0,0,46,3.4782608695652173,0.2594361058601134
ACE,592,Spatial Econometrics,13,3,1,2,1,2,1,0,0,0,0,0,0,0,23,3.6956521739130435,0.2696941398865785
ACES,101,Contemporary Issues in ACES,496,1584,142,48,147,20,23,45,9,5,17,0,37,3,2573,3.761232024873688,0.24209760579811104
ACES,102,Intro Sustainable Food Systems,25,19,5,2,1,0,2,0,0,0,0,0,0,0,54,3.864259259259259,0.13009482167352535
ACES,179,History of Ag in IL Since 1860,11,61,42,30,77,31,26,20,7,2,6,2,15,1,330,2.9638787878787882,0.5599599185240837
ACES,199,Interpersonal Intelligence,28,22,15,4,7,2,1,4,2,1,1,2,0,1,89,3.5061797752808976,0.6765943946471406
ACES,409,Bioenergy Systems,1,6,5,1,2,3,6,1,0,0,1,0,0,0,26,3.102692307692308,0.6576658284023669
ACES,501,Advanced Bioenergy Topics,8,16,6,0,1,0,0,0,0,0,0,0,0,0,31,3.9038709677419354,0.04409469302809574
ADV,150,Introduction to Advertising,546,1659,155,198,668,72,72,164,13,16,43,10,60,16,3676,3.490990206746464,0.4670324369508868
ADV,199,Creativity Conquers the World,0,21,0,1,0,0,1,0,0,0,0,0,1,0,24,3.7358333333333333,0.15027219328703703
ADV,281,Advertising Research Methods,9,124,138,184,426,99,92,161,32,28,24,10,19,4,1346,2.861255572065379,0.5219831296867616
ADV,283,Advertising and Brand Strategy,2,356,177,54,23,17,3,1,2,0,0,0,2,0,637,3.7490266875981164,0.13120595657404244
ADV,283,"Content, Contact, Connections",78,238,99,17,9,6,1,1,0,1,0,1,0,0,451,3.843215077605321,0.11518012890792081
ADV,284,Consumer Insight,18,327,411,150,80,28,10,9,1,1,0,1,0,0,1036,3.6173745173745178,0.17131762421550067
ADV,290,Sports PR,7,12,12,2,2,1,0,0,0,0,0,0,0,0,36,3.760277777777777,0.10846381172839506
ADV,290,Sports Public Relations,0,21,13,3,3,0,0,0,0,0,0,0,0,0,40,3.7675000000000005,0.09000375000000001
ADV,300,Introduction to Advertising,335,1519,288,260,947,145,98,250,24,15,46,4,60,16,3991,3.3585467301428213,0.4914874474371452
ADV,305,Digital ADV Content,22,100,10,6,15,1,3,7,1,0,1,0,2,0,168,3.6667261904761905,0.3440305803149633
ADV,310,Intro to Public Relations,92,325,281,184,445,130,68,110,29,6,16,5,21,7,1712,3.18241238317757,0.46518014997011453
ADV,311,Classic Campaigns,0,46,56,38,31,6,1,0,0,0,1,0,2,0,181,3.471878453038674,0.187667852710599
ADV,312,Advertising History,0,17,40,63,67,45,31,20,7,7,4,3,6,0,310,2.854774193548387,0.4625416774730623
ADV,350,Writing for Public Relations,43,67,51,36,21,7,0,5,2,0,0,2,2,0,236,3.5738135593220344,0.30390712323314456
ADV,390,Content Creation,0,120,158,165,278,169,101,50,22,9,3,2,5,2,1082,3.0341219963031425,0.37636056788746314
ADV,393,Advertising and Society,229,204,93,48,52,19,9,12,3,0,1,0,1,1,671,3.712160953800298,0.24187396076016396
ADV,400,Advanced Selling Techniques,14,40,0,0,6,0,0,0,0,0,0,0,2,0,62,3.774193548387097,0.1024134805813836
ADV,400,Digital Advertising,0,8,21,0,1,0,0,0,0,0,0,0,0,0,30,3.7356666666666665,0.03969122222222223
ADV,400,Special Problems,3,106,25,11,29,1,4,11,0,0,0,0,0,0,190,3.6072105263157894,0.3382685346260388
ADV,409,Media Entrepreneurship,0,39,12,17,3,0,0,1,0,0,0,0,1,0,73,3.666438356164383,0.1420973116856076
ADV,410,Advanced Public Relations,217,319,136,65,70,20,12,5,3,1,0,0,1,2,849,3.7305889281507656,0.1963599667668829
ADV,410,Consumer Comm and the Public,17,69,54,25,11,1,0,0,0,0,0,0,0,0,177,3.7350282485875708,0.09855833253535064
ADV,410,Public Relations Strategies,16,94,71,62,41,6,14,5,1,1,1,0,0,1,312,3.5021474358974363,0.28989763210881
ADV,411,Classic Campaigns,19,45,26,11,9,4,0,1,0,0,1,0,0,0,116,3.695948275862069,0.22518099732461358
ADV,412,Advertising History,0,38,78,116,120,61,46,30,19,6,5,1,3,0,523,2.982734225621415,0.41847854622424707
ADV,450,Content Creation,0,67,99,148,177,99,62,45,10,7,0,0,3,1,717,3.040404463040446,0.3437654181437789
ADV,450,Creative Strategy and Tactics,0,41,46,39,47,35,14,14,2,0,0,0,0,0,238,3.197899159663866,0.3538207965539157
ADV,460,Innovation in Advertising,53,423,149,141,91,49,30,18,10,3,1,0,1,1,969,3.562208462332301,0.3252121204969009
ADV,475,Multicultural Advertising,0,1,6,9,9,3,4,2,0,0,0,0,1,0,35,2.9805714285714284,0.2542509294460642
ADV,476,Global Advertising,0,23,33,18,10,2,0,0,2,0,0,0,0,0,88,3.5423863636363633,0.20047044163223138
ADV,478,Psychology of Advertising,4,29,1,0,20,0,4,4,1,0,2,0,1,0,66,3.2827272727272723,0.6357789506636615
